depth,gasage,[CO2],sigma_[CO2],core,reference
1007.5,34135.5,200.0,6.6,4,4
1018.9,35134.5,201.7,3.2,4,4
1025.8,35656.9,205.5,3.2,4,4
1031.5,36070.7,205.9,6.0,4,4
1043.5,37044.7,204.7,1.5,4,4
1049.8,37550.1,219.3,3.2,4,4
1049.9,37559.0,205.9,3.8,4,2
1057.9,38129.1,214.1,3.3,4,2
1059.4,38201.5,217.6,3.2,4,4
1059.5,38206.3,208.9,5.9,4,2
1061.3,38322.8,209.2,3.0,4,2
1063.5,38500.3,209.2,2.3,4,2
1065.9,38685.1,210.8,1.2,4,2
1067.1,38734.0,209.5,1.2,4,2
1069.3,38870.4,207.4,2.3,4,2
1071.1,39040.7,208.8,1.3,4,2
1071.4,39061.0,212.4,3.2,4,4
1073.9,39217.1,210.7,1.3,4,2
1075.5,39319.2,203.8,1.4,4,2
1077.3,39475.9,204.8,1.6,4,2
1079.4,39651.3,200.2,6.1,4,4
1079.6,39663.4,200.1,1.2,4,2
1081.9,39876.9,199.8,0.8,4,2
1083.5,40033.7,197.1,0.9,4,2
1085.3,40132.4,195.9,1.6,4,2
1087.5,40307.9,197.9,1.4,4,2
1089.9,40486.8,201.3,1.4,4,2
1091.1,40552.7,201.5,1.1,4,2
1093.3,40755.2,200.5,0.7,4,2
1095.1,40908.8,201.0,1.9,4,2
1095.3,40919.1,195.5,3.2,4,4
1097.9,41166.7,201.5,1.9,4,2
1099.3,41308.1,204.2,1.5,4,2
1103.5,41597.2,199.3,2.3,4,4
1103.6,41602.9,205.5,1.0,4,2
1105.3,41761.7,201.1,1.0,4,2
1107.1,41900.2,199.9,1.4,4,2
1107.2,41911.8,199.0,3.8,4,4
1111.5,42319.2,200.9,1.2,4,2
1115.0,42628.6,204.8,0.2,4,2
1115.1,42636.5,203.2,2.0,4,4
1117.8,42841.1,204.7,9.4,4,4
1117.9,42849.1,206.4,1.1,4,2
1119.1,42968.1,204.3,0.8,4,2
1119.4,43000.4,200.6,0.1,4,4
1121.3,43171.6,203.2,1.4,4,2
1123.5,43354.4,201.7,1.8,4,2
1125.7,43516.4,204.2,0.9,4,2
1125.7,43522.6,199.2,3.2,4,4
1127.5,43648.1,200.5,4.0,4,4
1127.6,43656.4,203.2,1.1,4,2
1129.3,43809.9,201.7,1.1,4,2
1132.5,44096.5,204.3,0.9,4,2
1133.9,44204.2,202.0,0.5,4,2
1133.9,44199.5,206.2,3.2,4,4
1135.5,44353.9,206.2,1.9,4,2
1137.3,44488.1,204.8,1.3,4,2
1139.1,44657.0,212.3,0.8,4,2
1141.3,44815.3,210.4,0.6,4,2
1141.8,44869.9,196.0,3.2,4,4
1143.5,44990.4,211.5,0.3,4,2
1145.3,45146.3,208.0,0.7,4,2
1147.5,45282.2,213.9,0.8,4,2
1149.8,45446.9,214.3,3.2,4,4
1149.9,45458.7,214.5,0.8,4,2
1153.3,45697.3,217.5,2.2,4,2
1155.5,45878.2,222.7,0.3,4,2
1155.5,45870.2,222.7,0.9,4,4
1157.9,46054.5,221.8,1.7,4,2
1157.9,46053.1,223.4,3.2,4,4
1159.4,46185.4,219.2,1.2,4,2
1161.3,46307.1,218.3,1.4,4,2
1164.5,46525.8,215.5,2.1,4,4
1165.9,46635.5,216.4,1.4,4,2
1165.9,46633.7,211.4,3.2,4,4
1167.5,46745.0,214.2,1.0,4,2
1167.5,46738.8,211.0,3.2,4,4
1169.3,46887.5,210.8,1.5,4,2
1171.5,47086.6,210.3,0.5,4,2
1173.7,47314.8,207.6,1.2,4,2
1173.7,47319.2,207.6,3.2,4,4
1175.5,47517.4,203.5,0.8,4,4
1175.6,47525.5,204.3,1.0,4,2
1177.3,47710.0,203.8,0.4,4,2
1179.5,47938.6,205.7,1.0,4,2
1181.9,48222.8,206.2,2.0,4,2
1181.9,48217.7,208.6,3.2,4,4
1183.5,48427.8,201.0,0.6,4,2
1187.1,48910.8,202.9,3.2,4,4
1187.6,48989.6,201.6,0.9,4,2
1189.9,49302.7,200.1,0.4,4,2
1191.1,49464.0,204.1,1.2,4,2
1191.1,49469.5,203.6,3.2,4,4
1193.3,49729.3,203.9,1.3,4,2
1195.5,50007.7,204.4,1.6,4,2
1197.4,50219.2,206.7,0.5,4,2
1197.7,50267.3,205.8,3.2,4,4
1199.6,50527.7,207.4,0.5,4,2
1203.5,51027.2,207.6,0.9,4,2
1206.6,51431.7,211.6,0.4,4,2
1209.3,51779.5,215.1,1.8,4,2
1211.6,52091.4,213.8,0.7,4,2
1213.9,52385.8,219.1,0.3,4,2
1213.9,52379.1,216.2,3.2,4,4
1215.5,52571.7,220.7,0.4,4,2
1217.3,52800.2,221.1,1.1,4,2
1219.5,53106.9,223.7,1.7,4,2
1221.7,53400.0,223.3,0.9,4,2
1221.7,53405.5,223.6,3.2,4,4
1224.5,53790.2,227.9,7.6,4,4
1224.6,53808.9,221.1,1.5,4,2
1227.5,54156.2,220.4,0.9,4,2
1229.3,54387.6,218.0,1.8,4,2
1231.5,54695.5,213.9,1.1,4,2
1233.7,55012.0,216.9,0.6,4,2
1233.8,55028.6,211.0,3.2,4,4
1235.6,55294.4,208.2,0.7,4,2
1237.3,55551.3,214.8,0.5,4,2
1239.5,55913.7,210.3,1.2,4,2
1239.5,55909.0,210.5,3.2,4,4
1241.9,56234.9,207.7,0.8,4,2
1241.9,56228.0,204.8,3.2,4,4
1243.5,56503.8,212.4,0.7,4,2
1247.5,57196.7,213.7,1.7,4,4
1247.6,57207.9,215.7,0.6,4,2
1249.2,57478.7,217.4,2.5,4,2
1251.5,57845.7,223.7,0.5,4,2
1253.9,58215.7,224.4,0.8,4,2
1253.9,58210.5,222.3,3.2,4,4
1255.5,58427.8,223.1,1.2,4,2
1259.5,59086.9,232.0,3.7,4,4
1259.6,59106.0,231.3,0.1,4,2
1261.3,59382.0,226.4,1.4,4,2
1262.3,34064.0,196.8,2.1,3,4
1263.5,59729.4,223.5,0.7,4,2
1263.5,59721.6,229.6,3.2,4,4
1265.7,60128.6,222.5,3.2,4,4
1266.4,60246.6,227.1,1.0,4,2
1267.5,60423.5,222.3,0.5,4,2
1269.3,60771.8,221.0,0.8,4,2
1271.5,61190.8,212.3,2.6,4,4
1271.6,61211.3,215.8,0.4,4,2
1273.9,61713.4,212.0,0.6,4,2
1275.5,62035.4,209.8,0.8,4,2
1275.5,62025.2,207.6,3.2,4,4
1276.5,34955.0,204.7,1.5,3,4
1281.5,63454.9,199.5,1.1,4,2
1283.4,63993.9,199.6,2.2,4,4
1283.6,64066.5,197.7,0.5,4,2
1285.3,64577.0,203.6,1.6,4,2
1287.5,65150.8,205.7,1.4,4,2
1288.5,35624.7,198.4,1.5,3,4
1289.9,65928.4,205.3,2.4,4,2
1291.4,66421.9,199.1,0.9,4,2
1293.2,67067.6,196.8,0.6,4,2
1295.5,67920.9,199.9,3.2,4,4
1295.6,67962.0,202.5,0.7,4,2
1297.9,68952.6,208.2,1.3,4,2
1298.8,36083.6,206.0,1.5,3,4
1299.3,69563.7,204.3,3.2,4,4
1299.5,69673.5,207.7,1.1,4,2
1301.7,70653.3,222.5,1.9,4,3
1303.6,71496.5,228.7,1.2,4,3
1305.9,72434.5,237.0,0.8,4,3
1307.8,73251.2,236.1,3.2,4,4
1307.9,73275.3,231.7,1.0,4,3
1311.5,74892.8,239.6,0.7,4,3
1313.9,75763.9,243.7,2.3,4,3
1315.8,76437.3,235.6,1.0,4,3
1317.7,77264.7,231.6,1.7,4,3
1321.8,79033.5,230.4,1.5,4,3
1323.7,79870.1,229.3,0.1,4,4
1323.8,79905.6,231.3,1.7,4,3
1324.5,37484.1,209.0,1.5,3,4
1330.0,82597.1,245.2,3.7,4,3
1331.6,83364.8,249.5,3.2,4,4
1331.8,83434.0,243.7,0.8,4,3
1336.8,38163.6,215.8,1.5,3,4
1338.0,86225.2,226.9,3.0,4,3
1339.8,87186.5,224.6,0.4,4,3
1348.8,38679.9,206.1,1.5,3,4
1349.0,92554.2,235.4,1.6,4,3
1349.9,93030.6,237.6,1.1,4,3
1356.9,96431.0,247.8,3.2,4,4
1357.0,96455.7,248.8,3.9,4,3
1359.9,97825.5,241.2,3.2,4,4
1360.0,97850.9,238.2,0.8,4,3
1363.8,99720.8,239.4,7.7,4,4
1364.0,99785.1,238.5,1.8,4,3
1365.9,100760.0,244.3,0.2,4,4
1366.0,100799.0,243.4,0.6,4,3
1372.9,104748.0,252.3,3.2,4,4
1373.0,104785.0,249.4,0.5,4,3
1373.8,105352.0,251.1,3.2,4,4
1373.9,105441.0,250.9,0.8,4,3
1379.6,110247.0,262.1,3.1,4,4
1380.0,110592.0,279.0,3.8,4,3
1384.5,40430.7,196.1,1.5,3,4
1386.0,115545.0,283.9,2.4,4,3
1389.7,117903.0,276.3,3.2,4,4
1390.0,118060.0,277.0,1.9,4,3
1395.4,41033.2,201.2,1.5,3,4
1396.0,121595.0,280.2,1.3,4,3
1396.9,122140.0,283.3,3.2,4,4
1397.0,122173.0,280.9,1.5,4,3
1431.4,42967.5,202.2,1.5,3,4
1435.6,43206.0,193.8,1.5,3,1
1444.5,43758.7,195.6,1.5,3,4
1444.6,43764.0,199.3,1.6,3,1
1447.6,44033.3,188.6,3.2,3,1
1455.5,44576.8,203.6,1.5,3,4
1455.6,44583.2,200.0,1.7,3,1
1459.5,44844.6,212.6,1.5,3,4
1459.7,44853.6,212.4,0.7,3,1
1466.4,45309.3,211.0,1.5,3,4
1466.6,45319.8,209.1,2.6,3,1
1471.5,45610.6,209.8,1.5,3,4
1471.6,45616.8,212.0,1.1,3,1
1480.2,46138.5,216.3,1.5,3,4
1480.6,46164.4,217.6,2.2,3,1
1483.5,46358.2,216.0,1.5,3,4
1483.6,46364.7,207.4,0.6,3,1
1491.4,46840.5,206.8,1.3,3,1
1491.5,46847.8,211.0,1.5,3,4
1495.5,47087.0,202.1,1.5,3,4
1495.6,47095.1,199.7,4.5,3,1
1503.6,47622.0,205.3,1.3,3,1
1508.6,47938.3,200.3,1.8,3,1
1515.5,48470.6,199.1,0.7,3,1
1518.6,48699.8,193.6,1.5,3,1
1526.6,49241.9,199.4,1.0,3,1
1531.8,49580.4,202.4,1.3,3,1
1538.6,50118.7,200.3,0.9,3,1
1543.6,50472.9,202.8,1.5,3,1
1550.6,50955.9,205.9,2.3,3,1
1556.6,51339.8,205.3,2.4,3,1
1563.8,51778.3,211.5,1.9,3,4
1563.9,51784.0,210.4,2.3,3,1
1567.6,52035.8,210.7,1.6,3,1
1570.0,52188.9,213.8,1.6,3,1
1575.9,52557.6,218.0,3.6,3,1
1580.6,52858.3,218.2,2.1,3,1
1581.9,52948.5,215.9,1.3,3,1
1587.9,53330.0,220.4,0.5,3,1
1590.6,53498.2,219.0,3.5,3,1
1594.0,53718.0,218.4,2.8,3,1
1600.9,54115.0,212.7,2.5,3,1
1600.9,54113.1,219.6,1.5,3,4
1602.6,54228.7,214.5,1.8,3,1
1606.0,54451.6,211.9,1.6,3,1
1611.9,54836.1,208.7,0.9,3,1
1615.6,55089.4,209.4,1.9,3,1
1618.0,55271.6,209.7,0.7,3,1
1623.9,55680.6,209.5,1.1,3,1
1628.6,55980.6,203.4,1.7,3,1
1630.0,56072.1,205.0,0.3,3,1
1636.9,56551.1,205.4,0.5,3,1
1636.9,56547.2,201.7,1.5,3,4
1639.6,56743.0,203.7,2.3,3,1
1642.0,56902.9,208.2,0.7,3,1
1647.9,57324.7,210.7,0.8,3,1
1652.6,57664.3,217.8,1.4,3,1
1654.0,57748.7,214.2,0.8,3,1
1659.9,58096.4,219.0,1.0,3,1
1659.9,58093.7,215.8,1.5,3,4
1664.6,58384.1,218.4,0.6,3,1
1665.9,58456.5,225.7,1.0,3,1
1670.9,58739.8,218.4,0.6,3,1
1675.6,58993.4,221.6,2.8,3,1
1678.0,59101.2,226.8,3.7,3,1
1683.9,59433.0,223.4,1.0,3,1
1688.6,59695.3,221.8,1.2,3,1
1689.9,59770.7,223.9,2.6,3,1
1695.8,60103.4,217.3,1.1,3,4
1695.9,60110.3,216.7,0.8,3,1
1700.6,60373.1,212.9,0.7,3,1
1703.0,60516.7,217.3,0.6,3,1
1707.9,60817.0,213.8,1.4,3,1
1711.6,61057.2,208.0,1.3,3,1
1713.9,61234.3,210.6,1.0,3,1
1718.9,61555.5,210.9,0.7,3,1
1718.9,61551.5,215.4,1.5,3,4
1723.6,61901.0,206.4,1.2,3,1
1731.9,62552.8,202.6,0.9,3,1
1734.8,62773.2,202.7,2.3,3,1
1737.0,62960.7,200.1,0.6,3,1
1744.0,63555.7,197.4,1.2,3,1
1747.6,63898.5,197.2,0.8,3,2
1750.0,64113.8,199.7,1.3,3,2
1755.9,64651.3,202.6,1.5,3,4
1756.0,64658.0,203.7,0.5,3,2
1758.6,64866.0,201.7,1.2,3,2
1760.9,65048.6,199.2,0.7,3,2
1768.0,65545.7,209.0,3.3,3,2
1770.6,65763.2,198.2,0.7,3,2
1772.9,65938.7,200.6,1.5,3,2
1780.0,66439.1,204.4,2.9,3,2
1787.0,66960.4,207.2,1.7,3,2
1792.0,67312.7,201.1,2.0,3,2
1798.0,67727.6,203.8,1.1,3,2
1804.0,68145.9,200.2,1.6,3,2
1810.0,68620.1,203.4,0.6,3,2
1816.0,69081.6,205.4,0.9,3,2
1822.0,69591.9,211.3,1.1,3,2
1828.9,70054.0,215.6,1.8,3,2
1834.0,70427.2,220.3,0.5,3,2
1840.9,70925.5,225.2,1.4,3,2
1846.0,71279.3,235.0,1.2,3,2
1851.9,71693.7,237.6,0.8,3,2
1857.9,72092.6,239.5,0.9,3,2
1863.9,72490.4,232.8,0.9,3,2
1869.9,72866.0,232.3,1.0,3,2
1875.9,73218.2,230.9,2.1,3,2
1882.9,73750.9,232.7,0.9,3,2
1888.9,74224.7,231.3,0.7,3,2
1892.9,74526.1,241.2,1.0,3,2
1899.9,75068.1,243.3,1.6,3,2
1907.0,75543.3,249.5,0.7,3,2
1911.9,75848.1,249.9,0.6,3,2
1917.9,76247.6,239.3,1.1,3,2
1923.9,76696.4,238.0,2.0,3,2
1928.9,77054.4,231.7,1.5,3,2
1935.9,77615.0,224.9,1.3,3,2
1942.0,78079.1,226.6,0.8,3,2
1947.9,78509.3,224.1,0.6,3,2
1953.9,78970.1,227.3,0.6,3,2
1959.9,79411.2,229.3,1.3,3,2
1966.0,79876.1,234.7,0.7,3,2
1971.9,80328.8,230.6,0.6,3,2
1976.9,80722.6,233.9,1.5,3,2
1983.9,81206.5,230.3,0.8,3,2
1990.9,81711.1,234.1,1.2,3,2
1995.9,82069.1,238.9,0.9,3,2
2002.0,82525.5,240.9,1.6,3,2
2007.9,82987.8,246.3,0.7,3,2
2015.0,83555.2,247.1,1.0,3,2
2019.9,83939.1,250.8,0.8,3,2
2025.0,84358.0,243.2,0.8,3,2
2031.9,84935.9,238.4,1.1,3,2
2036.9,85368.4,234.7,0.6,3,2
